ID (SITE N°),STRUCTURE NAME,FRENCH NAME,HIGHWAY NAME,LATITUDE,LONGITUDE,CATEGORY,SUBCATEGORY 1,TYPE 1,MATERIAL 1,YEAR BUILT,LAST MAJOR REHAB,LAST MINOR REHAB,NUMBER OF SPAN / CELLS,SPAN DETAILS (m),DECK / CULVERTS LENGTH (m),WIDTH TOTAL (m),REGION,COUNTY,OPERATION STATUS,OWNER,LAST INSPECTION DATE,CURRENT BCI,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
01X-0018/C0,Culvert 18,,403,43.167542,-80.215807,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1990,1990,,,Total=4 (1)=4,156,4,West,BRANT,Open to traffic,Provincial,06/16/2020,68.57,68.57,,68.6,,68.6,,68.7,,68.9,,70.7,,70.9,,73.7,,74.1,,75,,
01X-0019/C0,Culvert 19,,403,43.16655538,-80.21516616,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1990,1990,,,Total=4 (1)=4,55,4,West,BRANT,Open to traffic,Provincial,06/16/2020,72.72,72.72,,72.95,,72.8,,72.8,,73,,72.9,,73.8,,74,,74.4,,75,,
01X-0032/B0,Highway 24 Underpass at Highway 403,ROUTE 24 PASSAGE INFÉRIEUR À ROUTE 403 ,403,43.16723261,-80.27556722,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,2014,2009,4,Total=64  (1)=12;(2)=19;(3)=21;(4)=12;,66.6,25.4,West,BRANT,Open to traffic,Provincial,10/08/2020,77.14,77.14,,80.77,,80.9,81.2,81.2,,72.3,,69.5,,70,,70.3,,70.5,,70.7,72.9,
01X-0043/B0,WEST STREET UNDERPASS,OUEST STREET PASSAGE INFÉRIEUR ,403,43.1645311,-80.2515821,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1963,2014,2011,4,Total=60.4 (1)=12.2(2)=18(3)=18(4)=12.2,62.47,18.39,West,BRANT,Open to traffic,Provincial,10/06/2020,76.96,76.96,,78.77,,79,,79.1,,71.5,,68.1,,69,,69.4,,69.4,,70.3,73.3,
01X-0044/B0,NORTH PARK STEET UNDERPASS,NORTH PARK STEET PASSAGE INFÉRIEUR ,403,43.165918,-80.263791,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1962,2013,2009,4,Total=60.4 (1)=12.2(2)=18(3)=18(4)=12.2,60.35,17.332,West,BRANT,Open to traffic,Provincial,10/06/2020,75.76,75.76,,77.4,,77.8,,77.9,,71.4,,69.9,,67.7,,68.9,,69.1,,69.9,72.8,
01X-0085/B0,GURNEY CREEK WHITEMAN BRIDGE,PONT GURNEY CREEK WHITEMAN ,24,43.13748947,-80.36729741,Bridge,Beam/Girder,Plate I Girder,Steel,2011,2011,2006,1,Total=41.2 (1)=41.2,41.2,14.5,West,BRANT,Open to traffic,Provincial,09/21/2020,94.01,94.01,,98.57,,98.7,,98.5,,99.1,,50.5,,49.5,,50.5,,70.4,,71.8,71.9,
01X-0139/B0,BRANT COUNTY RD.# 27 (Oak Park Road) Underpass Interchange,BRANT COUNTY RD. #27 PASSAGE SUPÉRIEUR ,403,43.16781,-80.33827,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1975,2013,,2,Total=60.6 (1)=30.3(2)=30.3,64,17.07,West,BRANT,Open to traffic,Provincial,10/06/2020,73.97,73.97,,74.85,,75.4,,76.6,,71.2,,70.5,,70.2,,70.7,,70.2,,71.1,71.8,
01X-0140/B0,CNR SUBWAY,,403,43.171507,-80.310371,Bridge,Frame,Rectangular Beam,Reinforced Cast-In-Place Concrete,1977,,2006,2,Total=33.52 (1)=16.76(2)=16.76,86.13,16.46,West,BRANT,Open to traffic,Provincial,09/21/2020,73.8,73.8,,73.92,,73.9,,74.2,,74.2,,73.9,,71.5,,70.5,,70.6,,74.9,74.8,
01X-0141/B1,"PARIS ROAD (HWY 2) OVERPASS, E.B.L","Rte. #2 PASSAGE SUPÉRIEUR , VDE ",403,43.17028534,-80.29980756,Bridge,Beam/Girder,Plate I Girder,Steel,1965,2013,2020,4,Total=92  (1)=20;(2)=28;(3)=24;(4)=20;,93.4,15.46,West,BRANT,Open to traffic,Provincial,10/06/2020,76.26,76.26,,73.31,,73.3,,74.3,,69.9,,69.2,,69.8,,70,,70,,68,72.4,
01X-0141/B2,"PARIS ROAD (HWY 2) OVERPASS, W.B.L.","Rte. #2 PASSAGE SUPÉRIEUR , VDO ",403,43.17053997,-80.30008138,Bridge,Beam/Girder,Plate I Girder,Steel,1964,2013,2020,4,Total=92  (1)=20;(2)=28;(3)=24;(4)=20;,93.36,15.456,West,BRANT,Open to traffic,Provincial,10/06/2020,75.95,75.95,,73.82,,74.2,,74.1,,70.8,,70.3,,70.7,,70.5,,70.7,,69.1,79.2,
01X-0142/B0,EWING DRIVE UNDERPASS,EWING DRIVE PASSAGE INFÉRIEUR ,403,43.169122,-80.291855,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,2014,2009,4,Total=62 (1)=12(2)=19(3)=19(4)=12,64.99,12.29,West,BRANT,Open to traffic,Provincial,10/06/2020,76.7,76.7,,78.88,,78.9,,79.1,,71.2,,70.1,,70.7,,70.9,,71.1,,71.9,72.8,
01X-0143/B0,TOLLGATE ROAD UNDERPASS,TOLLGATE ROAD UDERPASS ,403,43.167695,-80.279819,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,2013,2003,4,Total=78  (1)=15;(2)=24;(3)=24;(4)=15;,79.63,11.378,West,BRANT,Open to traffic,Provincial,10/08/2020,77.1,77.1,,78.05,,78.1,,78.2,,72.4,,71.4,,72.6,,72,,71.7,,72.5,70.5,
01X-0144/B0,Wayne Gretzky Parkway Underpass,PARK ROAD PASSAGE INFÉRIEUR ,403,43.165268,-80.243533,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,2014,2005,4,Total=64 (1)=12(2)=20(3)=20(4)=12,63.9,20.22,West,BRANT,Open to traffic,Provincial,09/21/2020,75.43,75.43,,78,,78,,71.3,,71.5,,71.3,,70.4,,70.8,,70.9,,71.7,77.9,
01X-0145/B1,C.N.R. OVERHEAD EBL,VIADUC DU CNR VDE ,403,43.1667472,-80.23301541,Bridge,Beam/Girder,Plate I Girder,Steel,1963,2013,2005,3,Total=69  (1)=21;(2)=27;(3)=21;,70.409,11.76,West,BRANT,Open to traffic,Provincial,10/05/2020,73.65,73.65,,74.02,,74.1,,74.3,,69.2,,69.6,,70.1,,69.6,,69.9,,77.5,70.8,
01X-0145/B2,"C N.R. OVERHEAD, WBL.","VIADUC DU CNR, VDO. ",403,43.16697007,-80.23271571,Bridge,Beam/Girder,Plate I Girder,Steel,1963,2013,,3,Total=69  (1)=21;(2)=27;(3)=21;,70.409,11.76,West,BRANT,Open to traffic,Provincial,10/05/2020,73.94,73.94,,74.93,,75,,75.1,,69.8,,69.9,,70.9,,70.2,,68.8,,71,71,
01X-0147/B1,GRAND RIVER BRIDGE EBL.,PONT DE LA RIVIÈRE GRAND VDE. ,403,43.16602678,-80.35104104,Bridge,Beam/Girder,Plate I Girder,Steel,1976,,2014,4,Total=223.4 (1)=48.7(2)=63(3)=63(4)=48.7,223.06,11.23,West,BRANT,Open to traffic,Provincial,05/10/2020,75.71,75.71,,76.68,,76.7,,73.9,,73.9,,73.8,,73.5,,73.6,,73.6,,74,74.5,
01X-0147/B2,GRAND RIVER BRIDGE WBL.,GRAND PONT DE LA RIVIÈRE VDO. ,403,43.1663193,-80.3510894,Bridge,Beam/Girder,Plate I Girder,Steel,1976,2014,2007,4,Total=224 (1)=49(2)=63(3)=63(4)=49,223.06,11.23,West,BRANT,Open to traffic,Provincial,05/10/2020,75.79,75.79,,76.36,,76.4,,73.5,,73.5,,73.3,,72.8,,72.8,,73,,73.1,74.4,
01X-0148/B1,"HORNER CREEK BRIDGE, EBL","PONT DU RUISSEAU HORNER, VDE ",403,43.1331186,-80.5218685,Bridge,Beam/Girder,CPCI Girder,Other,1983,1984,,3,Total=48  (1)=13;(2)=22;(3)=13;,48.96,11.9,West,BRANT,Open to traffic,Provincial,12/09/2020,72.69,73.41,,73.41,,73.7,,73.9,,73.9,,72.9,,73.7,,79.4,,79.7,,92.4,92.4,
01X-0148/B2,"HORNER CREEK BRIDGE, WBL","PONT DU RUISSEAU HORNER , VDO ",403,43.13332947,-80.52230257,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1983,1984,,3,Total=48  (1)=13;(2)=22;(3)=13;,48.96,11.9,West,BRANT,Open to traffic,Provincial,10/05/2020,72.91,72.91,,73.24,,73.5,,73.7,,73.8,,73.4,,73.9,,79.5,,79.6,,93.6,94.4,
01X-0149/B0,TOWNSHIP ROAD UNDERPASS,TOWNSHIP ROAD PASSAGE INFÉRIEUR ,403,43.13622,-80.558609,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,1993,2017,2,Total=60  (1)=30;(2)=30;,60.9,9.4,West,BRANT,Open to traffic,Provincial,01/01/2020,76.58,76.58,,75.96,76.4,73.2,,73.3,,73.2,,72.6,,73.6,,73.9,,74.3,,89.5,92.9,
01X-0150/B0,COUNTY ROAD 130/22 UNDERPASS,COUNTY ROAD 130/22 PASSAGE INFÉRIEUR ,403,43.13284,-80.602073,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1983,2006,2018,2,Total=60  (1)=30;(2)=30;,60.88,9.4,West,BRANT,Open to traffic,Provincial,01/01/2020,76.43,76.43,,76.52,,72.1,,72.5,,72.4,,71.6,,73.2,,73.3,,73,,92.4,93.6,
01X-0151/B0,MAPLE ROAD UNDERPASS,MAPLE ROAD PASSAGE INFÉRIEUR ,403,43.14492,-80.446253,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1982,2017,1982,2,Total=61  (1)=30.5;(2)=30.5;,61.96,9.4,West,BRANT,Open to traffic,Provincial,01/01/2020,76.22,76.22,,76.31,76.3,71.8,,72.4,,72.7,,72.5,,73.4,,73.4,,73.4,,75,94.2,
01X-0154/B0,REST ACRES ROAD UNDERPASS,REST ACRES ROAD PASSAGE INFÉRIEUR ,403,43.161551,-80.376911,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1975,2004,,2,Total=68  (1)=34;(2)=34;,69.624,18.34,West,BRANT,Open to traffic,Provincial,01/01/2020,72.74,72.74,,72.96,,73.1,,73.3,,73.7,,74,,74.4,,77.1,,77.3,,71.8,89,
01X-0155/B0,COUNTY ROAD 16 UNDERPASS,COUNTY ROAD 16 PASSAGE INFÉRIEUR ,403,43.152748,-80.422996,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1982,1982,,2,Total=67  (1)=33.5;(2)=33.5;,67,9.9,West,BRANT,Open to traffic,Provincial,01/01/2020,75.75,75.75,,75.78,,72.7,,73.2,,73.5,,72.9,,73.8,,74.3,,74.1,,75,94.4,
01X-0156/B0,COUNTY RD 25 INTERCHANGE UPASS,ÉCHANGEUR COUNTY RD 25 PASSAGE INFÉRIEUR ,403,43.134606,-80.512841,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1982,1982,2016,2,Total=69.5  (1)=34.5;(2)=35;,71,17.66,West,BRANT,Open to traffic,Provincial,01/01/2020,77.5,77.5,,77.56,,73.2,,73.7,,73.2,,72.4,,72.5,,72.6,,72.5,,74.6,89.7,
